Wavenumber=11974.8455,Intensity=0.113780877463806
Wavenumber=11975.9607,Intensity=0.125722161619392
Wavenumber=11977.0183,Intensity=0.104653632379029
Wavenumber=11977.4372,Intensity=0.259070248776984
Wavenumber=11977.4372,Intensity=0.259070248776984
Wavenumber=11980.365,Intensity=0.200352628334685
Wavenumber=11980.365,Intensity=0.200352628334685
Wavenumber=11981.24,Intensity=0.136547027132828
Wavenumber=11981.24,Intensity=0.136547027132828
Wavenumber=11981.8718,Intensity=0.402316981253891
Wavenumber=11981.9714,Intensity=0.291290049159333
Wavenumber=11982.948,Intensity=0.317330151144859
Wavenumber=11983.4753,Intensity=0.0861167749845159
Wavenumber=11984.8884,Intensity=0.245250899693432
Wavenumber=11984.8884,Intensity=0.245250899693432
Wavenumber=11986.0046,Intensity=0.130292834995071
Wavenumber=11987.658,Intensity=0.107928422981002
Wavenumber=11989.1511,Intensity=0.194297010395535
Wavenumber=11989.1511,Intensity=0.194297010395535
Wavenumber=11989.1511,Intensity=0.194297010395535
Wavenumber=11990.6951,Intensity=0.297567585416174
Wavenumber=11991.5281,Intensity=0.180397427446819
Wavenumber=11992.3357,Intensity=0.132342201427438
Wavenumber=11992.6013,Intensity=0.0860550757531583
Wavenumber=11992.6147,Intensity=0.0835294637166747
Wavenumber=11993.7517,Intensity=0.308701011023426
Wavenumber=11994.6013,Intensity=0.292876937760799
Wavenumber=11994.9216,Intensity=0.086014710176581
Wavenumber=11995.8435,Intensity=0.128770877996899
Wavenumber=11996.7751,Intensity=0.117702845760361
Wavenumber=11997.5652,Intensity=0.101458933559938
Wavenumber=11998.0144,Intensity=0.176140528584739
Wavenumber=11999.3494,Intensity=0.257992014748368
Wavenumber=12000.4851,Intensity=0.0920972740206865
Wavenumber=12001.2117,Intensity=0.103709374839092
Wavenumber=12001.6267,Intensity=0.0876145069534501
Wavenumber=12004.0525,Intensity=0.160283492232475
Wavenumber=12004.3464,Intensity=0.405379792193863
Wavenumber=12004.3464,Intensity=0.405379792193863
Wavenumber=12004.9433,Intensity=0.132836193108691
Wavenumber=12005.491,Intensity=0.137586884736828
Wavenumber=12005.491,Intensity=0.137586884736828
Wavenumber=12005.7146,Intensity=0.108249138214121
Wavenumber=12005.7146,Intensity=0.108249138214121
Wavenumber=12006.991,Intensity=0.271630208921199
Wavenumber=12007.823,Intensity=0.239359884079044
Wavenumber=12009.7017,Intensity=0.0768416151391059
Wavenumber=12010.5388,Intensity=0.145757184333803
Wavenumber=12010.5388,Intensity=0.145757184333803
Wavenumber=12011.0642,Intensity=0.0808026844799203
Wavenumber=12012.0163,Intensity=0.105757086012863
Wavenumber=12013.2948,Intensity=0.0806669532750478
Wavenumber=12013.7666,Intensity=0.0830231890220636
Wavenumber=12014.53,Intensity=0.149661037139286
Wavenumber=12014.7419,Intensity=0.284616927410389
Wavenumber=12014.9314,Intensity=0.120157594258239
Wavenumber=12015.5212,Intensity=0.132703374590618
Wavenumber=12016.1384,Intensity=0.22491335538223
Wavenumber=12016.7923,Intensity=0.0653475775936922
Wavenumber=12017.9499,Intensity=0.125460232930831
Wavenumber=12018.8914,Intensity=0.0799511569419301
Wavenumber=12019.1521,Intensity=0.287820314561081
Wavenumber=12019.1521,Intensity=0.287820314561081
Wavenumber=12020.1939,Intensity=0.0663482844246333
Wavenumber=12020.9017,Intensity=0.0758114333385733
Wavenumber=12022.9177,Intensity=0.123297584294293
Wavenumber=12024.2019,Intensity=0.166933014114227
Wavenumber=12024.3083,Intensity=0.205925436468248
Wavenumber=12024.9714,Intensity=0.256354374355444
Wavenumber=12025.5815,Intensity=0.0683405835080661
Wavenumber=12026.2742,Intensity=0.100653561451554
Wavenumber=12026.779,Intensity=0.122509567536767
Wavenumber=12027.5777,Intensity=0.114629158421632
Wavenumber=12027.8288,Intensity=0.0709739081232306
