Wavenumber=466.890573,Intensity=0.101235335444035
Wavenumber=466.913216,Intensity=0.19638455052665
Wavenumber=466.918283,Intensity=0.0972502011746289
Wavenumber=466.928332,Intensity=0.0722094215683251
Wavenumber=466.93645,Intensity=0.239141957318715
Wavenumber=466.954944,Intensity=0.177414414020779
Wavenumber=466.967201,Intensity=0.720323929547984
Wavenumber=466.97761,Intensity=0.0979995015131404
Wavenumber=466.991798,Intensity=0.102376790882798
Wavenumber=467.01877,Intensity=0.24622991780741
Wavenumber=467.023942,Intensity=0.139804863288758
Wavenumber=467.02853,Intensity=0.104765661470156
Wavenumber=467.042429,Intensity=0.717042928802575
Wavenumber=467.048262,Intensity=0.179497072952308
Wavenumber=467.06131,Intensity=0.289977140085523
Wavenumber=467.06975,Intensity=0.072864496639589
Wavenumber=467.077984,Intensity=0.233658185167331
Wavenumber=467.091208,Intensity=0.106715461509897
Wavenumber=467.098096,Intensity=0.274390585825043
Wavenumber=467.10472,Intensity=0.0767401367285047
Wavenumber=467.119228,Intensity=0.103939726366788
Wavenumber=467.147675,Intensity=0.220310565528401
Wavenumber=467.158846,Intensity=0.0939919996252122
